p1,p2,p3,p4,p5,p6,p7,p9,p10,p11,p13,p18
-81,-83,-90,-91,-80,-84,-77,-84,-84,-89,-88,-82
-79,-83,-88,-88,-81,-84,-79,-85,-82,-87,-86,-84
-81,-82,-89,-91,-81,-84,-78,-84,-82,-90,-87,-84
-84,-81,-89,-90,-81,-85,-75,-81,-84,-90,-84,-81
-77,-81,-90,-89,-83,-85,-80,-85,-83,-89,-86,-85
-80,-81,-91,-89,-80,-85,-77,-84,-84,-83,-86,-82
-78,-82,-91,-88,-79,-86,-79,-83,-84,-87,-86,-84
-80,-83,-90,-87,-80,-85,-82,-84,-84,-86,-87,-82
-75,-84,-89,-85,-80,-85,-79,-84,-83,-82,-86,-82
-76,-81,-89,-84,-79,-85,-79,-83,-83,-86,-87,-81
-76,-80,-88,-89,-80,-84,-79,-84,-84,-88,-86,-82
-73,-84,-87,-85,-80,-85,-79,-83,-84,-81,-87,-84
-77,-83,-86,-93,-80,-86,-79,-84,-83,-82,-90,-81
